Unique ID,Human Label,Confused,Concentrating,Bored,Frustrated
551,Concentrating,0.18,0.195,0.804,0.104
552,Concentrating,0.034,0.905,0.08,0.028
553,Concentrating,0.026,0.845,0.16,0.017
554,Concentrating,0.019,0.946,0.049,0.01
555,Concentrating,0.083,0.359,0.683,0.054
556,Concentrating,0.005,0.986,0.012,0.004
557,Concentrating,0.004,0.994,0.005,0.002
558,Concentrating,0.054,0.94,0.029,0.03
559,Bored,0.045,0.637,0.382,0.041
560,Concentrating,0.059,0.894,0.078,0.035
561,Concentrating,0.073,0.884,0.083,0.036
562,Concentrating,0.165,0.874,0.045,0.055
563,Concentrating,0.386,0.616,0.166,0.198
564,Concentrating,0.091,0.853,0.102,0.053
565,Concentrating,0.001,0.998,0.002,0.001
566,Concentrating,0.031,0.635,0.404,0.019
567,Concentrating,0.056,0.81,0.182,0.028
568,Concentrating,0.036,0.864,0.133,0.019
569,Concentrating,0.007,0.98,0.018,0.004
570,Concentrating,0.321,0.374,0.469,0.211
571,Concentrating,0.007,0.989,0.007,0.003
572,Concentrating,0.003,0.994,0.005,0.002
573,Bored,0.528,0.409,0.301,0.277
574,Concentrating,0.149,0.519,0.466,0.057
575,Concentrating,0.216,0.715,0.181,0.102
576,Concentrating,0.032,0.957,0.022,0.024
577,Concentrating,0.195,0.733,0.141,0.148
578,Concentrating,0.06,0.692,0.312,0.039
579,Concentrating,0.018,0.956,0.034,0.015
580,Concentrating,0.036,0.961,0.018,0.019
581,Concentrating,0.051,0.959,0.008,0.03
582,Concentrating,0.016,0.98,0.012,0.008
583,Concentrating,0.02,0.983,0.007,0.009
584,Concentrating,0.003,0.996,0.002,0.002
585,Concentrating,0.277,0.768,0.091,0.106
586,Concentrating,0.005,0.982,0.017,0.004
587,Bored,0.195,0.116,0.887,0.11
588,Concentrating,0.043,0.955,0.019,0.025
589,Concentrating,0.207,0.532,0.359,0.167
